date = 2022/02/30
apparatus = Rockwell Retro Encabulator
time encabulation
0.0000 -0.3265
0.0193 -0.0860
0.0387 0.5840
0.0580 0.1534
0.0773 -0.1666
0.0966 0.0482
0.1158 0.4466
0.1351 -0.4383
0.1543 -0.3133
0.1735 0.0059
0.1928 0.3730
0.2120 -1.2368
0.2311 0.8760
0.2503 -0.1403
0.2695 -0.0607
0.2886 -0.0299
0.3077 0.6551
0.3269 -0.1608
0.3460 0.6415
0.3651 0.1046
0.3841 -0.0827
0.4032 -0.0645
0.4223 -0.1164
0.4413 0.2776
0.4603 -0.4062
0.4794 -0.0406
0.4984 0.1735
0.5174 -0.7618
0.5364 0.8373
0.5553 -1.1341
0.5743 0.0320
0.5933 -0.1554
0.6122 0.4803
0.6312 -0.3980
0.6501 0.4739
0.6690 -0.4315
0.6879 0.0671
0.7068 0.0527
0.7257 0.6855
0.7446 -0.1299
0.7634 0.0023
0.7823 0.2220
0.8012 -0.7251
0.8200 0.4437
0.8388 -0.0355
0.8577 -0.4725
0.8765 0.4922
0.8953 -0.0247
0.9141 0.4744
0.9329 0.0090
0.9517 0.7100
0.9705 -0.6784
0.9892 0.4848
1.0080 -0.6680
1.0268 -0.1220
1.0455 0.0669
1.0643 0.3454
1.0830 -0.1215
1.1017 0.3245
1.1205 0.2253
1.1392 0.3928
1.1579 -0.2788
1.1766 0.1371
1.1953 0.1869
1.2140 -0.6154
1.2327 0.3734
1.2514 0.4115
1.2701 -0.1302
1.2888 0.2444
1.3075 0.0814
1.3261 0.3049
1.3448 -0.6054
1.3635 0.0064
1.3822 0.6507
1.4008 0.6306
1.4195 1.1217
1.4381 -0.2328
1.4568 0.1462
1.4754 0.4100
1.4941 -0.2121
1.5127 0.1181
1.5314 0.6262
1.5500 -0.2860
1.5686 0.4029
1.5873 -0.2046
1.6059 -0.1030
1.6245 -0.5114
1.6432 -0.2616
1.6618 0.6742
1.6804 0.2038
1.6990 -0.3409
1.7177 -0.1648
1.7363 0.6925
1.7549 0.7158
1.7736 0.3935
1.7922 0.7327
1.8108 -0.2458
1.8294 -0.5572
1.8481 0.2069
1.8667 0.2877
1.8853 0.3492
1.9039 0.0815
1.9226 0.1413
1.9412 0.7732
1.9598 -0.1121
1.9785 -0.5722
1.9971 0.0605
2.0158 -0.2762
2.0344 0.4239
2.0530 0.2722
2.0717 -0.0595
2.0903 -0.1005
2.1090 0.0185
2.1276 0.0793
2.1463 -0.3819
2.1650 0.3627
2.1836 0.1051
2.2023 -0.1730
2.2210 -0.2313
2.2396 -0.0539
2.2583 0.6640
2.2770 0.3367
